Car Name,Price,Year,Mileage,Dealer
FERRARI SF90 ASSETTO FIORANO FOR SALE,"£344,995",2021,"1,443",AMARI SUPERCARS
2024 BENTLEY BENTAYGA S BY ONYX CONCEPT,"د.إ1,525,000",2024,30,DOURADO LUXURY CAR
FERRARI DINO 246 GTS,"£499,950",1973,"18,175",JOE MACARI
FERRARI 250 GT LUSSO,POA,1963,"19,825",JOE MACARI
FERRARI 275 GTS,"£1,494,950",1965,"55,150",JOE MACARI
FERRARI PORTOFINO T V8 ULEZ,"£109,990",2019,"17,000",VAS VEHICLE SOLUTIONS LTD
FERRARI PORTOFINO,"£122,950",2020,"9,800",ROMANS INTERNATIONAL
2019 FERRARI 488 SPIDER,"£179,995",2019,"5,622",EUROPEAN PRESTIGE
FERRARI PUROSANGUE,"£339,950",2024,"1,025",JOE MACARI
FERRARI 599 GTB ULEZ,"£94,990",2010,"7,000",VAS VEHICLE SOLUTIONS LTD
FERRARI 12CILINDRI,"£379,950",2025,875,JOE MACARI
FERRARI 812 SUPERFAST FOR SALE,"£219,995",2019,"14,946",AMARI SUPERCARS
FERRARI GTC4LUSSO T V8 ULEZ,"£122,990",2019,"21,500",VAS VEHICLE SOLUTIONS LTD
FERRARI GTC4 LUSSO V12,"£199,950",2018,"14,965",ROMANS INTERNATIONAL
2014/64 FERRARI CALIFORNIA T,"£79,950",2014,"12,000",TOM HARTLEY
1972/~ FERRARI 246 DINO GTS UK SUPPLIED,"£349,950",1972,"12,000",TOM HARTLEY
FERRARI ROMA T V8 ULEZ,"£137,990",2021,"5,500",VAS VEHICLE SOLUTIONS LTD
2010/60 FERRARI 599 GTB FIORANO HGTE,"£109,950",2010,"16,000",TOM HARTLEY
1972/~ FERRARI 246 DINO GTS,POA,1972,"12,000",TOM HARTLEY
FERRARI PUROSANGUE FOR SALE,"£344,995",2024,"4,074",AMARI SUPERCARS
FERRARI PUROSANGUE FOR SALE,"£379,995",2024,"3,600",AMARI SUPERCARS
FERRARI PORTOFINO M,"£169,950",2022,"3,853",ROMANS INTERNATIONAL
FERRARI 812 GTS,POA,2021,"8,552",ROMANS INTERNATIONAL
FERRARI ROMA SPIDER,"£174,950",2023,"9,775",JOE MACARI
FERRARI 308 GTBI,"£64,990",1982,"46,700",SIMON FURLONGER
FERRARI 512BBI - LHD FOR SALE,"£249,995",1986,"19,047",AMARI SUPERCARS
FERRARI 458 SPIDER,"£179,950",2014,"12,859",ROMANS INTERNATIONAL
2019/19 FERRARI 812 SUPERFAST ATELIER SPECIFICATION,POA,2019,"13,500",TOM HARTLEY
FERRARI 360 CHALLENGE STRADALE,"£249,950",2004,"27,770",ROMANS INTERNATIONAL
2017/17 FERRARI GTC4 LUSSO V12,"£129,950",2017,"45,000",TOM HARTLEY
FERRARI PORTOFINO,POA,2020,"12,911",ROMANS INTERNATIONAL
1991 FERRARI TESTAROSSA,"£149,995",1991,"23,843",EUROPEAN PRESTIGE
FERRARI 812 COMPETIZIONE,"£995,000",2023,"2,548",ROMANS INTERNATIONAL
FERRARI ROMA SPIDER,"£194,950",2024,46,ROMANS INTERNATIONAL
2018/68 FERRARI 812 SUPERFAST,"£204,950",2018,"19,000",TOM HARTLEY
FERRARI 296 GTS,"£264,950",2024,"1,591",ROMANS INTERNATIONAL
FERRARI 488 PISTA SPIDER,"£399,950",2020,"2,315",ROMANS INTERNATIONAL
2018/67 FERRARI 812 SUPERFAST,"£189,950",2018,"28,000",TOM HARTLEY
FERRARI 488 PISTA PILOTI – 80 MILES FROM NEW,"£424,990",2019,80,SIMON FURLONGER
FERRARI ROMA,"£164,950",2023,514,ROMANS INTERNATIONAL
FERRARI 488 SPIDER,"£157,950",2017,"8,405",ROMANS INTERNATIONAL
FERRARI 812 SUPERFAST,"£219,950",2019,"9,089",ROMANS INTERNATIONAL
2004/54 FERRARI 612 SCAGLIETTI 6-SPEED MANUAL 1 OWNER,POA,2004,"13,000",TOM HARTLEY
2008/08 FERRARI 599 GTB FIORANO,"£109,950",2008,"9,500",TOM HARTLEY
FERRARI 550 FOR SALE,"£449,995",2001,"6,705",AMARI SUPERCARS
"FERRARI 355 SPIDER F1 – 5,500 MILES FROM NEW","£119,990",1998,"5,500",SIMON FURLONGER
FERRARI 250 GT PININFARINA COUPE,"£499,990",1959,0,SIMON FURLONGER
2023/23 FERRARI PORTOFINO M,"£149,950",2023,"6,500",TOM HARTLEY
2017/67 FERRARI CALIFORNIA T 70TH ANNIVERSARY 1 OF 1,"£199,950",2017,100,TOM HARTLEY
FERRARI 296 GTS,"£239,950",2023,"7,860",JOE MACARI
2024 FERRARI PUROSANGUE,"£359,995",2024,"6,107",EUROPEAN PRESTIGE
FERRARI 488 GTB,"£159,950",2017,"4,925",JOE MACARI
2021 FERRARI 812 GTS,"£299,995",2021,"5,582",EUROPEAN PRESTIGE
FERRARI SF90 SPIDER FOR SALE,"£359,995",2023,"5,250",AMARI SUPERCARS
2018/18 FERRARI 812 SUPERFAST,POA,2018,"11,000",TOM HARTLEY
FERRARI 458 SPECIALE,"£379,950",2015,"4,265",ROMANS INTERNATIONAL
2021 FERRARI 812 GTS,"£329,995",2021,"8,209",EUROPEAN PRESTIGE
FERRARI 458 SPIDER ULEZ,"£149,990",2014,"25,000",VAS VEHICLE SOLUTIONS LTD
FERRARI 488 PISTA,"£299,950",2020,"6,467",ROMANS INTERNATIONAL
FERRARI 275 GTB/4 LHD,POA,1967,"60,550",JOE MACARI
2019 FERRARI 488 PISTA,"£299,995",2019,"6,690",EUROPEAN PRESTIGE
FERRARI ROMA,"£149,950",2023,"7,511",ROMANS INTERNATIONAL
2023/23 FERRARI 296 GTB,"£209,950",2023,"1,000",TOM HARTLEY
2020/20 FERRARI PORTOFINO V8,"£124,950",2020,"12,000",TOM HARTLEY
2024/24 FERRARI PUROSANGUE V12,"£319,950",2024,"10,000",TOM HARTLEY
2022/22 FERRARI SF90 STRADALE,"£274,950",2022,"1,300",TOM HARTLEY
2024/24 FERRARI PUROSANGUE V12,"£349,950",2024,"3,500",TOM HARTLEY
2014/14 FERRARI 458 SPIDER,"£169,950",2014,"13,000",TOM HARTLEY
FERRARI 458 SPECIALE,"£369,950",2014,"6,327",ROMANS INTERNATIONAL
FERRARI 458 SPECIALE,"£389,950",2014,"1,195",TOP 555
FERRARI 575 SUPERAMERICA HGTC,"£229,950",2005,"12,625",JOE MACARI
FERRARI F12 BERLINETTA V12 ULEZ,"£149,990",2014,"17,900",VAS VEHICLE SOLUTIONS LTD
FERRARI 812 SUPERFAST,"£234,950",2019,"5,472",ROMANS INTERNATIONAL
FERRARI 812 GTS,"£284,950",2020,"7,946",ROMANS INTERNATIONAL
FERRARI 296 GTS FOR SALE,"£249,995",2023,"2,500",AMARI SUPERCARS
FERRARI PUROSANGUE,"£359,950",2024,"4,350",ROMANS INTERNATIONAL
FERRARI F8 SPIDER FOR SALE,"£259,995",2021,"1,393",AMARI SUPERCARS
FERRARI 296 GTB,"£197,950",2023,"3,942",ROMANS INTERNATIONAL
2018/18 FERRARI GTC4 LUSSO V12,"£139,950",2018,"29,000",TOM HARTLEY
FERRARI ROMA SPIDER,"£204,950",2025,49,SCUDERIA PRESTIGE
FERRARI GTC4LUSSO T V8,"£106,500",2018,"39,331",SCUDERIA PRESTIGE
FERRARI 612 SCAGLIETTI F1,"£59,995",2005,"66,748",SCUDERIA PRESTIGE
FERRARI ROMA T V8,"£134,995",2021,"14,007",SCUDERIA PRESTIGE
FERRARI ROMA T V8,"£139,500",2021,"20,510",SCUDERIA PRESTIGE
FERRARI 599 GTB,"£94,990",2011,"7,000",VAS VEHICLE SOLUTIONS LTD
FERRARI SF90 SPIDER FOR SALE,"£359,995",2022,"5,546",AMARI SUPERCARS
FERRARI 360 F1 ULEZ,"£58,990",2001,"30,500",VAS VEHICLE SOLUTIONS LTD
FERRARI 488 GTB,"£139,950",2017,"20,493",ROMANS INTERNATIONAL
FERRARI ENZO,POA,2014,845,ROMANS INTERNATIONAL
FERRARI SF90 SPIDER,POA,2022,"1,415",JOE MACARI
1999/T FERRARI 355 F1 SPIDER,"£84,950",1999,"21,500",TOM HARTLEY
FERRARI 12CILINDRI,"£394,950",2025,100,TOP 555
FERRARI SF90 SPIDER,"£434,950",2024,590,TOP 555
FERRARI 296 GTB,"£209,950",2023,"4,025",ROMANS INTERNATIONAL
FERRARI 488 SPIDER,"£156,950",2017,"14,452",ROMANS INTERNATIONAL
FERRARI 812 GTS,"£304,950",2022,"12,761",ROMANS INTERNATIONAL
FERRARI 599 SA APERTA,"£1,395,000",2013,148,ROMANS INTERNATIONAL
FERRARI 348 TS,"£99,950",1992,111,JOE MACARI
1996 FERRARI F355 SPIDER,"£134,995",1996,"29,726",EUROPEAN PRESTIGE
FERRARI F12 BERLINETTA,"£199,950",2017,"5,393",ROMANS INTERNATIONAL
FERRARI F8 TRIBUTO,"£219,950",2022,"5,903",ROMANS INTERNATIONAL
FERRARI F12 TDF,"£925,000",2017,"1,710",ROMANS INTERNATIONAL
2025 FERRARI 296 GTS,"£249,950",2025,"3,650",SUPERVETTURA
FERRARI GTC4 LUSSO T,"£109,950",2017,"35,620",TOP 555
FERRARI F12 BERLINETTA,"£181,950",2017,"5,769",ROMANS INTERNATIONAL
1973/13 FERRARI DINO 246 GTS CLASSICHE,"£349,950",1973,"42,500",TOM HARTLEY
FERRARI 296 GTB FOR SALE,"£219,500",2024,"2,211",AMARI SUPERCARS
FERRARI 488 PISTA FOR SALE,"£334,995",2021,"3,709",AMARI SUPERCARS
FERRARI 488 PISTA T V8 ULEZ,"£329,990",2019,"1,500",VAS VEHICLE SOLUTIONS LTD
FERRARI 488 SPIDER FOR SALE,"£159,995",2019,"10,382",AMARI SUPERCARS
1975/~ FERRARI DINO 246 GT,"£299,950",1975,"33,000",TOM HARTLEY
FERRARI F12 BERLINETTA,"£194,950",2017,"10,056",ROMANS INTERNATIONAL
FERRARI 550 BARCHETTA,POA,2001,"22,501",SIMON FURLONGER
1983/~ FERRARI 308 GTS QUATTROVALVOLE,"£69,950",1983,"64,000",TOM HARTLEY
1999/T FERRARI 355 SPIDER F1,"£84,950",1999,"21,500",TOM HARTLEY
FERRARI 296 GTB,"£214,950",2023,97,ROMANS INTERNATIONAL
FERRARI 458 SPIDER,"£139,950",2012,"20,100",JOE MACARI
LAMBORGHINI COUNTACH 25TH ANNIVERSARY FOR SALE,"£599,995",1989,"11,016",AMARI SUPERCARS
2021 FERRARI 812 SUPERFAST,"د.إ1,350,000",2021,"2,948",DOURADO LUXURY CAR
1989/F FERRARI 328 GTS,POA,1989,"46,000",TOM HARTLEY
2007/57 FERRARI 599 GTB,"£104,950",2007,"5,500",TOM HARTLEY
FERRARI 550 MARANELLO,"£114,990",1999,"30,000",SIMON FURLONGER
2022 FERRARI 296 GTB,"£199,995",2022,"8,314",EUROPEAN PRESTIGE
FERRARI GTC4 LUSSO V12,"£169,950",2021,"7,146",ROMANS INTERNATIONAL
2023 FERRARI 296 GTS,"£259,995",2023,"5,109",EUROPEAN PRESTIGE
FERRARI F355 CHALLENGE – RIGHT-HAND DRIVE (ROAD REGISTERED),"£179,990",1997,"32,000",SIMON FURLONGER
FERRARI 458 SPECIALE,"£384,995",2015,"4,660",THE OCTANE COLLECTION
1994/M FERRARI 348 SPIDER,"£69,950",1994,"23,000",TOM HARTLEY
2013/13 FERRARI 458 SPIDER,POA,2013,"1,400",TOM HARTLEY
2025 ROLLS ROYCE CULLINAN SERIES II,"د.إ1,950,000",2025,53,DOURADO LUXURY CAR
2023/23 FERRARI 296 GTB,"£209,950",2023,250,TOM HARTLEY
1986/C FERRARI MONDIAL 1 OWNER,"£59,950",1986,"18,000",TOM HARTLEY
FERRARI F12 TDF,"£825,000",2016,"3,682",ROMANS INTERNATIONAL
1992/K FERRARI 512 TR CLASSICHE CERTIFIED,"£259,950",1992,"15,000",TOM HARTLEY
