Car Name,Brand,Price,Mileage,Dealer
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,,
,maserati,,37 miles,Ferrari of Fort Lauderdale/ FL
2025 Maserati Grecale,maserati,"$91,055",188 miles,Ferrari of Fort Lauderdale/ FL
2025 Maserati Grecale,maserati,"$87,305",346 miles,Ferrari of Fort Lauderdale/ FL
2025 Maserati Grecale,maserati,"$100,515",18 miles,Ferrari of Fort Lauderdale/ FL
2022 Maserati Quattroporte Modena,maserati,"$51,820","44,571 miles",Ferrari of Fort Lauderdale/ FL
2022 Maserati Levante Modena,maserati,"$44,900","31,730 miles",Ferrari of Fort Lauderdale/ FL
2022 Maserati Quattroporte Modena,maserati,"$50,900","27,036 miles",Ferrari of Fort Lauderdale/ FL
2022 Maserati Levante,maserati,"$41,800","21,490 miles",Ferrari of Fort Lauderdale/ FL
2024 Maserati GranTurismo,maserati,"$83,750","12,553 miles",Ferrari of Fort Lauderdale/ FL
2022 Maserati Quattroporte Modena,maserati,"$52,850","29,183 miles",Ferrari of Fort Lauderdale/ FL
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive
2021 Maserati Quattroporte S,maserati,"$41,995","36,974 miles",Formula Imports
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2013 Maserati GranTurismo Sport,maserati,"$43,990","11,792 miles",Ferrari of Las Vegas
2025 Maserati Grecale,maserati,"$87,775",20 miles,Ferrari of Fort Lauderdale
2025 Maserati Grecale,maserati,"$89,805",17 miles,Ferrari of Fort Lauderdale/ FL
2023 Maserati MC20 Cielo,maserati,"$224,900",369 miles,Ferrari of Fort Lauderdale/ FL
2026 Maserati GranTurismo,maserati,"$156,345",34 miles,Ferrari of Fort Lauderdale/ FL
2024 Maserati Ghibli,maserati,"$112,495",34 miles,Ferrari of Fort Lauderdale/ FL
2025 Maserati Grecale,maserati,"$81,045",404 miles,Ferrari of Fort Lauderdale/ FL
2026 Maserati GranTurismo,maserati,"$156,345",45 miles,Ferrari of Fort Lauderdale/ FL
2022 Maserati Levante,maserati,"$41,800","21,885 miles",Ferrari of Fort Lauderdale/ FL
2026 Maserati GranTurismo,maserati,"$156,345",35 miles,Ferrari of Fort Lauderdale/ FL
2022 Maserati Levante,maserati,"$40,370","41,376 miles",Ferrari of Fort Lauderdale/ FL
2022 Maserati Levante,maserati,"$41,900","23,153 miles",Ferrari of Fort Lauderdale/ FL
2024 Maserati GranTurismo Trofeo,maserati,"$115,700","16,125 miles",Ferrari of Fort Lauderdale/ FL
2022 Maserati Levante Modena,maserati,"$46,800","16,944 miles",Ferrari of Fort Lauderdale/ FL
2022 Maserati Quattroporte GT,maserati,"$47,500","19,006 miles",Ferrari of Fort Lauderdale/ FL
2022 Maserati Levante Modena,maserati,"$46,900","19,299 miles",Ferrari of Fort Lauderdale/ FL
2025 Maserati Grecale,maserati,Call for Price,5 miles,Ferrari of Fort Lauderdale/ FL
2023 Maserati MC20 Cielo,maserati,Call for Price,"1,717 miles",Patton Motors/ Florida
2019 Maserati GranTurismo Sport,maserati,"$55,700","47,761 miles","Auto Sport Classics, Exotic and Highline/ FL"
2012 Maserati GranTurismo Sport,maserati,"$29,900","40,195 miles","Auto Sport Classics, Exotic and Highline/ FL"
2018 Maserati GranTurismo Sport,maserati,"$38,600","49,989 miles","Auto Sport Classics, Exotic and Highline/ FL"
2016 Maserati Quattroporte S,maserati,"$22,900","22,848 miles","Auto Sport Classics, Exotic and Highline/ FL"
2025 Maserati Grecale,maserati,"$77,900",15 miles,Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$73,425","6,502 miles",Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$86,065",19 miles,Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$77,900",299 miles,Ferrari of Central Florida/ FL
2022 Maserati Quattroporte Modena,maserati,Call for Price,"42,193 miles",Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$84,915",995 miles,Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$80,850",103 miles,Ferrari of Central Florida/ FL
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2025 Maserati Grecale,maserati,"$81,925","5,716 miles",Ferrari of Central Florida
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2022 Maserati Levante,maserati,"$38,494","30,274 miles",Criswell Automotive
2025 Maserati Grecale,maserati,"$96,905",40 miles,Miller Motorcars
2025 Maserati Grecale,maserati,"$77,900",11 miles,Ferrari of Central Florida/ FL
2021 Maserati Levante S,maserati,"$39,995","33,829 miles",Ferrari of Central Florida/ FL
2022 Maserati MC20,maserati,"$179,995","3,625 miles",Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,Call for Price,19 miles,Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$74,895","1,129 miles",Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$86,175",18 miles,Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$81,550",81 miles,Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$97,055","4,653 miles",Ferrari of Central Florida/ FL
2022 Maserati Levante,maserati,Call for Price,"30,822 miles",Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$77,900",14 miles,Ferrari of Central Florida/ FL
2021 Maserati Levante,maserati,"$39,895","31,419 miles",Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$77,900",22 miles,Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$81,925","5,716 miles",Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$74,895","1,572 miles",Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$75,150",27 miles,Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$81,925","2,850 miles",Ferrari of Central Florida/ FL
2022 Maserati Levante,maserati,"$39,895","22,455 miles",Ferrari of Central Florida/ FL
2025 Maserati Grecale,maserati,"$77,900","1,731 miles",Ferrari of Central Florida/ FL
2015 Maserati GranTurismo,maserati,"$62,995","14,482 miles",European Exotic Center/ FL
2025 Maserati Grecale,maserati,Call for Price,7 miles,Ferrari of Atlanta/ GA
2025 Maserati Grecale,maserati,"$66,990",5 miles,Ferrari of Atlanta/ GA
2018 Maserati GranTurismo Sport,maserati,"$49,990","25,096 miles",Ferrari of Atlanta/ GA
2022 Maserati Levante Modena,maserati,"$42,990","27,135 miles",Ferrari of Atlanta/ GA
2023 Maserati Grecale Trofeo,maserati,"$56,990","25,446 miles",Ferrari of Atlanta/ GA
2025 Maserati Grecale,maserati,"$82,085",9 miles,Ferrari of Atlanta/ GA
2022 Maserati Levante,maserati,Call for Price,"27,109 miles",Ferrari of Atlanta/ GA
2025 Maserati Grecale,maserati,"$98,505",Call for miles,Ferrari of Atlanta/ GA
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
1964 Maserati Sebring,maserati,"$119,500",Call for miles,Gullwing Motor Cars
2025 Maserati Grecale Folgore,maserati,"$79,454",187 miles,Miller Motorcars
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2025 Maserati Grecale,maserati,"$91,535",8 miles,Ferrari Dallas
2019 Maserati Levante,maserati,"$48,628","23,456 miles",Criswell Automotive
2025 Maserati Grecale,maserati,Call for Price,8 miles,Ferrari of Atlanta/ GA
2025 Maserati Grecale,maserati,Call for Price,8 miles,Ferrari of Atlanta/ GA
2025 Maserati Grecale,maserati,"$66,995",14 miles,Ferrari of Atlanta/ GA
2025 Maserati Grecale,maserati,"$88,550",5 miles,Ferrari of Atlanta/ GA
2022 Maserati Ghibli,maserati,"$41,990","28,193 miles",Ferrari of Atlanta/ GA
2024 Maserati Ghibli,maserati,"$64,990","2,664 miles",Ferrari of Atlanta/ GA
2022 Maserati Levante Modena,maserati,"$36,490","40,540 miles",Ferrari of Atlanta/ GA
2021 Maserati Quattroporte S,maserati,"$41,995","36,974 miles",Formula Imports/ NC
2023 Maserati MC20 Cielo,maserati,"$234,996","6,148 miles",McLaren Charlotte/ NC
2024 Maserati MC20,maserati,Call for Price,802 miles,Foreign Cars Charlotte/ NC
2023 Maserati MC20 Cielo,maserati,"$219,996","3,896 miles",McLaren Charlotte/ NC
2022 Maserati Ghibli,maserati,"$46,495","17,931 miles",Foreign Cars Charlotte/ NC
2025 Maserati Grecale,maserati,"$67,795","5,254 miles",Foreign Cars Charlotte/ NC
2026 Maserati GranCabrio,maserati,Call for Price,29 miles,Foreign Cars Charlotte/ NC
2024 Maserati Levante,maserati,"$79,500","19,500 miles",Foreign Cars Charlotte/ NC
2022 Maserati Levante,maserati,"$37,889","33,909 miles",Foreign Cars Charlotte/ NC
2022 Maserati Ghibli,maserati,"$41,995","34,275 miles",Foreign Cars Charlotte/ NC
2023 Maserati MC20,maserati,"$216,795",596 miles,Foreign Cars Charlotte/ NC
2020 Maserati Levante S,maserati,"$36,995","30,175 miles",Foreign Cars Charlotte/ NC
2025 Maserati Grecale,maserati,Call for Price,15 miles,Foreign Cars Charlotte/ NC
2025 Maserati Grecale,maserati,Call for Price,75 miles,Foreign Cars Charlotte/ NC
2024 Maserati Levante,maserati,Call for Price,15 miles,Foreign Cars Charlotte/ NC
2024 Maserati Levante,maserati,Call for Price,Call for miles,Foreign Cars Charlotte/ NC
2018 Maserati GranTurismo Sport,maserati,"$50,990","16,261 miles",HyperCars/ IN
2020 Maserati Levante,maserati,"$28,990","58,874 miles",HyperCars/ IN
2018 Maserati Levante,maserati,"$20,990","75,146 miles",HyperCars/ IN
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2022 Maserati Quattroporte GT,maserati,"$47,500","19,006 miles",Ferrari of Fort Lauderdale
2025 Maserati Grecale,maserati,"$85,245",5 miles,Criswell Automotive
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2024 Maserati Levante,maserati,"$79,895",5 miles,Criswell Automotive
2023 Maserati MC20 Cielo,maserati,Call for Price,"1,717 miles",Patton Motors
2024 Maserati Grecale,maserati,"$68,775",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2025 Maserati Grecale,maserati,"$84,095",5 miles,Criswell Automotive/ MD
2025 Maserati Grecale,maserati,"$85,245",5 miles,Criswell Automotive/ MD
2025 Maserati Grecale,maserati,Call for Price,5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2022 Maserati Ghibli,maserati,"$48,998","12,106 miles",Criswell Automotive/ MD
2019 Maserati Levante,maserati,"$48,628","23,456 miles",Criswell Automotive/ MD
2022 Maserati Quattroporte Modena,maserati,"$52,311","20,746 miles",Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2023 Maserati Levante Modena,maserati,"$79,998",5 miles,Criswell Automotive/ MD
2025 Maserati Grecale Trofeo,maserati,"$119,160",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2025 Maserati Grecale,maserati,"$85,245",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2022 Maserati Quattroporte Modena,maserati,"$54,777","11,790 miles",Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2025 Maserati Grecale,maserati,"$83,080",5 miles,Criswell Automotive/ MD
2024 Maserati Grecale,maserati,"$72,998",5 miles,Criswell Automotive/ MD
2024 Maserati Levante,maserati,"$77,887",5 miles,Criswell Automotive/ MD
2024 Maserati Levante,maserati,"$79,895",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Modena,maserati,"$97,854",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2022 Maserati Levante,maserati,"$39,239","31,576 miles",Criswell Automotive/ MD
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2022 Maserati Quattroporte Trofeo,maserati,"$79,990","12,354 miles",San Francisco Exotic Cars
2021 Maserati Levante S,maserati,"$41,901","32,577 miles",Criswell Automotive
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2022 Maserati Levante Modena,maserati,"$48,999","23,097 miles",Exotic Motorcars of Michigan
2023 Maserati Levante F Tributo,maserati,"$59,900","4,683 miles",Miller Motorcars
2022 Maserati Levante Modena,maserati,"$39,998","37,248 miles",Criswell Automotive/ MD
2021 Maserati Levante S,maserati,"$41,901","32,577 miles",Criswell Automotive/ MD
2025 Maserati Grecale,maserati,"$85,245",5 miles,Criswell Automotive/ MD
2025 Maserati Grecale,maserati,"$87,030",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2023 Maserati Ghibli,maserati,"$65,887",5 miles,Criswell Automotive/ MD
2024 Maserati Levante,maserati,"$79,566",5 miles,Criswell Automotive/ MD
2024 Maserati Ghibli,maserati,"$83,566",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Modena,maserati,"$88,687",5 miles,Criswell Automotive/ MD
2024 Maserati Levante Trofeo,maserati,"$128,856",5 miles,Criswell Automotive/ MD
2022 Maserati Levante,maserati,"$38,494","30,274 miles",Criswell Automotive/ MD
2020 Maserati Ghibli,maserati,"$27,991","25,738 miles",ABZ Motors/ TX
2023 Maserati MC20,maserati,"$179,900","7,086 miles",McLaren Philadelphia/ PA
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery/ OH
2018 Maserati GranTurismo,maserati,"$57,995","29,676 miles",Perfect Auto Collection/ OH
2023 Maserati MC20,maserati,"$189,890","2,526 miles",Cavallino Rosso St. Louis/ MO
2022 Maserati Levante,maserati,"$43,450","23,457 miles",Marshall Goldman Motor Sales/ OH
2012 Maserati GranTurismo S,maserati,"$35,990","18,518 miles",Marshall Goldman Motor Sales/ OH
2024 Maserati MC20 Cielo,maserati,"$229,990",789 miles,Marshall Goldman Motor Sales/ OH
2025 Maserati Grecale Folgore,maserati,"$100,000",93 miles,Cleveland Motorsports/ OH
2024 Maserati Grecale,maserati,"$78,225","4,801 miles",Cleveland Motorsports/ OH
2024 Maserati Grecale Trofeo,maserati,"$110,837","6,182 miles",Cleveland Motorsports/ OH
2026 Maserati GranTurismo,maserati,"$158,015",39 miles,Cleveland Motorsports/ OH
2022 Maserati Levante Modena,maserati,"$45,000","25,225 miles",Cleveland Motorsports/ OH
2024 Maserati Grecale,maserati,"$52,000","6,385 miles",Cleveland Motorsports/ OH
2024 Maserati Grecale,maserati,"$51,500","5,955 miles",Cleveland Motorsports/ OH
2024 Maserati Grecale,maserati,"$85,000","7,595 miles",Cleveland Motorsports/ OH
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2022 Maserati Quattroporte Modena,maserati,"$50,900","27,036 miles",Ferrari of Fort Lauderdale
2024 Maserati Grecale,maserati,"$91,850",14 miles,Gold Coast Maserati - Alfa Romeo
2023 Maserati MC20,maserati,"$210,000","3,519 miles",Sarchione Auto Gallery
2024 Maserati Grecale,maserati,"$91,850",14 miles,Gold Coast Maserati - Alfa Romeo
2022 Maserati Levante Modena,maserati,"$46,900","19,299 miles",Ferrari of Fort Lauderdale
2024 Maserati GranCabrio,maserati,"$195,000",235 miles,Cleveland Motorsports/ OH
2024 Maserati Grecale,maserati,"$50,000","7,044 miles",Cleveland Motorsports/ OH
2024 Maserati Grecale Trofeo,maserati,"$112,042","4,578 miles",Cleveland Motorsports/ OH
1967 Maserati Mistral,maserati,"$67,500",Call for miles,Gullwing Motor Cars/ NY
1964 Maserati Mistral,maserati,"$495,000",Call for miles,Gullwing Motor Cars/ NY
1970 Maserati Ghibli,maserati,"$89,500",Call for miles,Gullwing Motor Cars/ NY
1966 Maserati Sebring,maserati,"$129,500","35,985 miles",Gullwing Motor Cars/ NY
1960 Maserati 3500GT,maserati,"$595,000",Call for miles,Gullwing Motor Cars/ NY
1968 Maserati Mistral,maserati,"$67,500",Call for miles,Gullwing Motor Cars/ NY
1964 Maserati Sebring,maserati,"$119,500",Call for miles,Gullwing Motor Cars/ NY
1967 Maserati Ghibli,maserati,"$139,500",Call for miles,Gullwing Motor Cars/ NY
1974 Maserati Bora,maserati,"$119,500",Call for miles,Gullwing Motor Cars/ NY
1967 Maserati Mistral,maserati,"$56,500",Call for miles,Gullwing Motor Cars/ NY
1964 Maserati 3500GTi,maserati,"$169,500",Call for miles,Gullwing Motor Cars/ NY
2024 Maserati Grecale,maserati,"$91,850",14 miles,Gold Coast Maserati - Alfa Romeo/ NY
2024 Maserati GranTurismo Trofeo,maserati,Call for Price,"4,610 miles",Gold Coast Maserati - Alfa Romeo/ NY
2023 Maserati MC20 Cielo,maserati,"$219,900",717 miles,Ferrari of Long Island/ NY
2023 Maserati MC20,maserati,"$185,000","5,277 miles",Ferrari of Long Island/ NY
2022 Maserati MC20,maserati,"$175,500","1,521 miles",Ferrari of Long Island/ NY
2022 Maserati Ghibli,maserati,"$46,400","10,570 miles",Ferrari of Long Island/ NY
2018 Maserati GranTurismo,maserati,"$65,900","7,196 miles",Tactical Fleet/ TX
2024 Maserati MC20,maserati,"$234,900",689 miles,Tactical Fleet/ TX
2023 Maserati Ghibli,maserati,"$49,900","8,610 miles",Ferrari Dallas/ TX
2023 Maserati Ghibli,maserati,"$49,900","18,108 miles",Ferrari Dallas/ TX
2023 Maserati Ghibli,maserati,"$59,995","14,812 miles",Ferrari Dallas/ TX
2025 Maserati Grecale,maserati,"$90,385",8 miles,Ferrari Dallas/ TX
2025 Maserati Grecale,maserati,"$76,400",20 miles,Ferrari Dallas/ TX
2023 Mercedes-Benz Metris,mercedes-benz,"$212,000","4,414 miles",FariCars
